timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673376848999,348,HTTP Request test,200,OK,Thread Group 1-231,text,true,,195,128,600,600,http://162.55.220.72:5005/first,348,0,48
1673376849006,350,get_method,200,OK,Thread Group 1-346,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,350,0,46
1673376848000,1356,object_info_1,200,OK,Thread Group 1-261,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1356,0,1057
1673376848003,1353,get_method,200,OK,Thread Group 1-432,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1353,0,1054
1673376849008,349,object_info_1,200,OK,Thread Group 1-237,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,348,0,45
1673376848004,1353,HTTP Request test,200,OK,Thread Group 1-157,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1353,0,1049
1673376849013,352,HTTP Request test,200,OK,Thread Group 1-112,text,true,,195,128,600,600,http://162.55.220.72:5005/first,352,0,57
1673376849023,342,get_method,200,OK,Thread Group 1-209,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,342,0,49
1673376849008,358,object_info_1,200,OK,Thread Group 1-557,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,358,0,44
1673376848020,1346,HTTP Request test,200,OK,Thread Group 1-220,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1346,0,1052
1673376849019,347,get_method,200,OK,Thread Group 1-457,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,347,0,52
1673376849018,349,get_method,200,OK,Thread Group 1-586,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,349,0,53
1673376848020,1354,get_method,200,OK,Thread Group 1-390,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1353,0,1052
1673376849021,354,get_method,200,OK,Thread Group 1-597,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,354,0,51
1673376849031,346,object_info_1,200,OK,Thread Group 1-77,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,346,0,51
1673376849032,347,object_info_1,200,OK,Thread Group 1-301,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,347,0,49
1673376849033,347,HTTP Request test,200,OK,Thread Group 1-474,text,true,,195,128,600,600,http://162.55.220.72:5005/first,347,0,49
1673376849040,342,object_info_1,200,OK,Thread Group 1-426,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,342,0,49
1673376849040,347,object_info_1,200,OK,Thread Group 1-44,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,347,0,49
1673376848034,1389,object_info_1,200,OK,Thread Group 1-121,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1389,0,1056
1673376849039,386,HTTP Request test,200,OK,Thread Group 1-106,text,true,,195,128,600,600,http://162.55.220.72:5005/first,385,0,48
1673376849042,388,HTTP Request test,200,OK,Thread Group 1-492,text,true,,195,128,600,600,http://162.55.220.72:5005/first,388,0,47
